rent,service,walk,bus,floor,age,autolock,catv,station,terminal,express,line
7.3,3,2,0,214,2,NO,0,tsurumi_shijo,21,0,keikyu
7,0,14,0,198,32,NO,0,gakugeidai,7,1,tokyu
0,0,0,0,0,0,NO,0,nakameguro,4,1,tokyu
14,0,1,10,137,17,NO,0,tsurumi,18,0,jr
7.9,0,4,12,76,31,NO,0,tsurumi,18,0,jr
3.3,0,9,0,17,25,NO,0,motosumiyoshi,20,0,tokyu
7.9,0,6,0,39,8,NO,0,hacho_nawate,20,0,keikyu
10.8,0,7,9,85,23,NO,0,tsurumi,18,0,jr
6.5,0,8,0,19,7,NO,0,kamata,9,0,jr
6.7,0,5,0,20,7,YES,0,kawasaki,9,1,jr
5.5,0,2,0,16,14,YES,0,tsurumi_shijo,21,0,keikyu
7,0,2,10,40,21,NO,0,tsurumi,18,0,jr
9.3,0,2,8,41,3,NO,0,tsurumi,18,0,jr
6.5,0,12,0,25,15,NO,0,keikyu_kamata,7,1,keikyu
8.3,0,12,0,24,0,YES,1,jiyugaoka,14,0,tokyu
7.8,0,11,0,21,2,NO,0,kawasaki,9,1,jr
5.2,2.5,3,0,17,0,NO,0,shin_kawasaki,12,0,jr
6,2,5,15,21,1,NO,0,kawasaki,9,1,jr
8.7,0,12,0,27,0,YES,1,jiyugaoka,14,0,tokyu
6.7,0,9,0,20,12,NO,0,keikyu_kamata,7,1,keikyu
8.5,0,10,0,26,2,YES,1,rokugo_dote,17,0,keikyu
6.2,0,7,0,17,14,YES,0,omori_machi,11,0,keikyu
7.9,0,7,0,23,5,NO,0,kawasaki,9,1,jr
4,1,3,0,24,30,NO,0,motosumiyoshi,20,0,tokyu
8.4,0,2,0,24,2,YES,0,omori_machi,11,0,keikyu
6.4,0,13,0,17,13,YES,0,heiwajima,7,1,keikyu
6,0,7,0,16,16,NO,0,oimachi,3,0,jr
7.9,0,9,0,19,3,YES,1,kamata,9,0,jr
5.7,2.5,3,0,18,0,NO,0,shin_kawasaki,12,0,jr
7.5,0,1,0,17,5,NO,0,yutenji,7,1,tokyu
6.8,2,18,0,24,0,NO,1,omori_machi,11,0,keikyu
9.2,0,19,0,48,16,NO,0,kawasaki,9,1,jr
5.8,0,8,0,16,19,NO,0,kawasaki,9,1,jr
14,0,4,0,95,14,YES,0,zoshiki,16,0,keikyu
6.6,2,2,7,21,0,NO,0,kawasaki,9,1,jr
6.6,2,2,7,21,0,NO,0,kawasaki,9,1,jr
7.3,0,1,0,20,10,YES,0,heiwajima,7,1,keikyu
7.5,0,7,0,27,14,NO,0,gakugeidai,7,1,tokyu
6.1,0,11,0,16,17,NO,0,keikyu_kamata,7,1,keikyu
4.2,1,3,0,29,35,NO,0,motosumiyoshi,20,0,tokyu
8.4,0,12,0,22,4,NO,0,nakameguro,4,1,tokyu
7.3,0,1,0,24,15,NO,0,keikyu_kamata,7,1,keikyu
8.3,0,2,10,33,14,NO,0,kawasaki,9,1,jr
8.9,0,13,0,25,3,NO,0,gakugeidai,7,1,tokyu
6.9,0,7,0,18,14,YES,0,kawasaki,9,1,jr
9.4,0,8,0,26.19,0,YES,1,shin_banba,3,0,keikyu
6,0,3,0,16,20,YES,0,omori_kaigan,8,0,keikyu
6.5,0,7,0,16,16,YES,0,shinmaruko,17,0,tokyu
6,0,4,0,12,17,NO,0,toritsudai,10,0,tokyu
5.2,1,3,10,14,17,NO,0,kawasaki,9,1,jr
6.3,0,6,0,15,17,NO,0,heiwajima,7,1,keikyu
6.95,0,5,0,28,22,NO,0,tsurumi,18,0,jr
7,0,9,0,17,13,NO,0,kamata,9,0,jr
7.7,0,2,10,28,16,YES,0,kawasaki,9,1,jr
12.5,0,5,6,74,13,NO,0,tsurumi,18,0,jr
5.8,0,4,0,13,20,NO,0,omori_kaigan,8,0,keikyu
6.5,0,11,0,16,17,YES,0,motosumiyoshi,20,0,tokyu
6.9,0,6,0,20,17,NO,0,aomono_yokocho,3,1,keikyu
8.5,0,12,0,20,4,NO,0,jiyugaoka,14,0,tokyu
6.5,0,8,0,18,19,NO,0,kawasaki,9,1,jr
7.3,0,4,0,25,18,NO,0,zoshiki,16,0,keikyu
7.6,0,11,0,33,22,NO,0,oimachi,3,0,jr
8,0,3,0,17,6,YES,0,toritsudai,10,0,tokyu
7.2,0,13,0,20,15,YES,0,tamagawa,13,1,tokyu
12.3,0,8,0,54,0,NO,0,keikyu_kamata,7,1,keikyu
14,0,5,0,94,18,YES,0,shin_kawasaki,12,0,jr
7,0,14,0,16,14,YES,0,toritsudai,10,0,tokyu
7.3,0,4,0,19,14,YES,0,tsurumi,18,0,jr
6.3,3,5,0,22,0,NO,0,tsurumi_shijo,21,0,keikyu
9.7,0,8,0,26.15,0,YES,1,shin_banba,3,0,keikyu
8,0,8,0,21,10,YES,0,gakugeidai,7,1,tokyu
6,0,6,0,14,21,NO,0,oimachi,3,0,jr
7.8,2,3,7,37,8,NO,0,kawasaki,9,1,jr
7.5,0,8,0,23,16,NO,0,nishi_oi,5,0,jr
6.1,3,2,10,22,2,NO,1,tsurumi,18,0,jr
8.5,0,7,0,32,15,YES,0,kawasaki,9,1,jr
8.5,0,7,0,32,15,YES,0,kawasaki,9,1,jr
7,1,10,0,19,9,NO,0,kawasaki,9,1,jr
6.9,0,3,0,15,15,NO,0,yutenji,7,1,tokyu
7.5,0,3,0,25,18,NO,0,heiwajima,7,1,keikyu
6.2,3,5,0,21,1,NO,1,kagetuen_mae,25,0,keikyu
6.2,3,2,15,26,5,NO,0,kawasaki,9,1,jr
6,1,10,0,16,16,YES,0,kawasaki,9,1,jr
7.5,0,7,0,16,12,NO,0,jiyugaoka,14,0,tokyu
7.4,0,2,0,25,20,NO,0,heiwajima,7,1,keikyu
9.3,0,12,0,27,6,YES,1,jiyugaoka,14,0,tokyu
7.4,0,7,0,16,13,YES,0,jiyugaoka,14,0,tokyu
5.3,2,15,0,21,18,NO,0,motosumiyoshi,20,0,tokyu
8.3,0,1,0,21.3,10,NO,0,aomono_yokocho,3,1,keikyu
6.3,2,5,0,23,12,NO,0,hacho_nawate,20,0,keikyu
7.8,0,7,0,19,13,YES,0,oimachi,3,0,jr
7.3,1,10,0,33,20,NO,0,gakugeidai,7,1,tokyu
10.1,0,8,0,26.19,0,YES,1,shin_banba,3,0,keikyu
9,0,10,0,33,15,NO,0,omori_machi,11,0,keikyu
13.5,0,4,13,62,1,NO,0,tsurumi,18,0,jr
6.5,0,15,0,32,35,NO,0,kamata,9,0,jr
