sic87dd_desc,manuf,sic3,dL,dIMP,dIMPoth
Agriculture,0,710,2.4707582,,
Veterinary services,0,740,4.01864,,
Landscape and horticultural services,0,780,3.1929722,,
Forestry,0,800,-1.350214,,
"Fishing, hunting, and trapping",0,900,-1.783013,,
Iron and ferroalloy ores,0,1010,-1.0589862,,
Copper ores,0,1020,-1.4556257,,
Misc. metal ores,0,1030,-.9635058,,
Coal and petroleum,0,1221,.9628467,,
Stone,0,1410,.36448023,,
Sand and gravel,0,1442,-1.4497092,,
Clay and related minerals,0,1455,-5.0051851,,
Chemical and fertilizer mining,0,1474,-3.1344748,,
Construction,0,1510,.41077384,,
Meat packing plants,1,2010,1.0834169,.0081761517,.02997466
Poultry slaughtering and processing,1,2010,1.0873411,.0041325968,.16253057
Creamery butter,1,2020,.11128136,0,0
"Cheese, natural and processed",1,2020,1.1542108,5.9900310e-07,-9.1443252e-07
"Dry, condensed, evaporated  products",1,2020,.1536452,.010602531,.031408049
Ice cream and frozen desserts,1,2020,.22949457,.0010755587,.0051698075
Fluid milk,1,2020,-1.0465448,.00014866979,.00050015829
Canned specialties,1,2030,-2.5031774,.0026381346,.0034486339
Canned fruits and vegetables,1,2030,-1.3412344,.12500307,.16324732
"Dehydrated fruits, vegetables, soups",1,2030,.53676623,.26386228,.46833277
"Pickles, sauces, and salad dressings",1,2030,.25098184,.030559236,.03925344
Frozen fruits and vegetables,1,2030,-2.1869433,.29162523,.43320045
Flour and other grain mill products,1,2040,-.93376428,.002522408,.0061128526
Cereal breakfast foods,1,2040,-.47654355,.00079102546,.020346252
Rice milling,1,2040,-.50666839,.016382724,.081088193
Prepared flour mixes and doughs,1,2040,1.7122216,.00015422644,.024601158
Wet corn milling,1,2040,-1.3212088,.0091384109,.095787778
Dog and cat food,1,2040,2.5578647,.14993408,.078731433
"Prepared feeds, n.e.c.",1,2040,-1.3770748,.014483464,.019814124
"Bread, cake, and related products",1,2050,-.66919303,.0074624801,.023202119
Cane sugar refining,1,2060,-2.0052342,.0032552942,-.015377698
Candy and other confectionery products,1,2060,-.79713166,.051868893,.047551066
Chocolate and cocoa products,1,2060,-2.5503895,-.015307252,.054907799
Salted and roasted nuts and seeds,1,2060,1.9644567,.089368425,.087908223
Cottonseed oil mills,1,2070,-3.3135343,.00043849656,-.21360497
Soybean oil mills,1,2070,-.22896549,.010147898,.0033611488
"Vegetable oil mills, n.e.c.",1,2070,-1.140754,.050968211,-.5166201
Animal and marine fats and oils,1,2070,.25008044,.18484449,.08572904
"Edible fats and oils, n.e.c.",1,2070,-.64832705,.0026608971,.0015149892
Malt beverages,1,2080,-1.5348451,-.00088211411,.0017748673
Malt,1,2080,-1.8214684,-.000057454559,-.0023761182
"Wines, brandy, and brandy spirits",1,2080,4.6159892,.0013002874,.0055773025
Distilled and blended liquors,1,2080,-.52364862,.0064848722,.0082590561
Bottled and canned soft drinks,1,2080,-1.6124589,.001839205,-.00034520394
"Flavoring extracts and syrups, n.e.c.",1,2080,1.5409272,.0048944722,.014388303
Canned and cured fish and seafoods,1,2090,-6.2513375,.93187845,3.5457809
Roasted coffee,1,2090,.20820728,.0007765232,.0034767662
Potato chips and similar snacks,1,2090,-1.0719924,.0020110956,.012194274
Manufactured ice,1,2090,-.012146758,0,.0010744714
Macaroni and spaghetti,1,2090,-2.9958386,.078053355,.11936174
"Food preparations, n.e.c.",1,2090,1.8206565,.052963883,.11994014
Cigarettes,1,2110,-6.3390303,.001350647,.0050154757
Cigars,1,2120,1.9235955,0,.002889601
Chewing and smoking tobacco,1,2130,-2.3130157,.00024332185,.00027354871
Tobacco stemming and redrying,1,2140,-4.0108919,0,9.6698914e-06
"Broadwoven fabric mills, cotton",1,2210,-9.642169,.0078769084,-.017906891
"Broadwoven fabric mills, manmade",1,2220,-8.6151218,.094870731,.074310109
"Broadwoven fabric mills, wool",1,2230,-9.757247,.019599643,.16091493
Narrow fabric mills,1,2240,-5.2865095,.47001401,.38450167
"Hosiery, n.e.c.",1,2250,-9.1403303,.6967808,1.1661975
Weft knit fabric mills,1,2250,-10.441707,.14756767,-.013350395
Lace and warp knit fabric mills,1,2250,-5.7200742,.017673586,.012939875
Carpets and rugs,1,2270,-2.3761888,.11385318,.091043897
Yarn spinning mills,1,2280,-8.2481623,.023368103,.068350188
Thread mills,1,2280,-4.2930918,.047774095,.14723018
"Coated fabrics, not rubberized",1,2290,-1.9881297,.64671022,.445611
Tire cord and fabrics,1,2290,-3.587368,.064991832,.13556676
Nonwoven fabrics,1,2290,-.51211625,.17340016,.23602906
Cordage and twine,1,2290,-3.7512617,.93102771,.75825489
"Textile goods, n.e.c.",1,2290,-3.1627305,.19888139,.53472465
Men's and boys' suits and coats,1,2310,-10.831221,.97947627,1.1167452
Men's and boys' shirts,1,2320,-11.380991,1.1219699,1.6601963
Men's and boys' underwear and nightwear,1,2320,-13.723859,1.8887527,3.5544155
Men's and boys' neckwear,1,2320,-9.5967951,.86197519,.47527796
Men's and boys' trousers and slacks,1,2320,-11.428803,.46394452,.97305644
"Men's and boys' clothing, n.e.c.",1,2320,-9.0823154,.90963757,1.6683314
Women's and misses' blouses and shirts,1,2330,-8.5724182,.38090277,1.6166048
"Women's, junior's, and misses' dresses",1,2330,-9.3995075,1.1281159,.95526421
Women's and misses' suits and coats,1,2330,-11.853952,1.2708671,2.0178845
"Women's and misses' outerwear, n.e.c.",1,2330,-9.09939,1.1684279,1.2417099
Women's and children's underwear,1,2340,-16.866831,1.2431946,1.1467521
"Hats, caps, and millinery",1,2350,-8.669385,2.7395461,2.1277366
"Girls' and children's outerwear, n.e.c.",1,2360,-14.311014,2.5716043,5.7606254
Fur goods,1,2370,-9.6946144,.63122684,.62821013
Fabric dress and work gloves,1,2380,-7.3913951,1.7085075,2.4376512
Robes and dressing gowns,1,2380,-13.186121,.21168706,.15461853
Waterproof outerwear,1,2380,-14.658198,10.934087,7.69069
Leather and sheep-lined clothing,1,2380,-7.9436359,.048534203,.14842291
"Apparel and accessories, n.e.c.",1,2380,-6.859623,2.0974574,1.2509089
Curtains and draperies,1,2390,-6.5200658,1.6029272,.80185997
"Housefurnishings, n.e.c.",1,2390,-5.6073904,2.4082994,2.0166709
Textile bags,1,2390,-4.6190495,1.2069695,1.5488169
Canvas and related products,1,2390,-.42700836,1.250334,.68333256
Pleating and stitching,1,2390,-4.2177377,.15444586,-.02418028
Automotive and apparel trimmings,1,2390,.2678,.023856901,.0074168569
"Fabricated textile products, n.e.c.",1,2390,-2.7442942,1.6040432,1.5533595
Logging,1,2410,-2.584034,.0058223652,-.040118907
"Sawmills and planing mills, general",1,2420,-2.3782473,.013470342,.0078249769
Hardwood dimension and flooring mills,1,2420,-1.4023272,.23797671,.26900813
"Special product sawmills, n.e.c.",1,2420,-3.7371511,.0010584434,.0029078838
Millwork,1,2430,-1.1491845,.069625244,.096507534
Wood kitchen cabinets,1,2430,.33907157,.25606403,.030061608
