pref_id,pop,income,educ
31,556,1926.301,15.686
32,674,2514.247,14.229
39,698,2528.778,19.26
36,728,3210.614,28.285
18,768,3497.456,90.613
19,811,3502.039,43.718
41,815,3020.094,28.909
30,925,3667.607,27.065
37,956,3864.847,29.247
5,966,3631.852,26.371
16,1044,4697.429,41.183
45,1073,3860.442,40.496
6,1078,4404.611,43.06
44,1135,4596.517,20.615
17,1138,4832.02,44.295
3,1227,4679.508,48.853
2,1246,4433.16,30.672
42,1327,4711.326,52.345
29,1330,4575.134,98.046
38,1339,5292.663,69.944
35,1358,6428.583,38.904
25,1414,6786.198,95.121
47,1453,4674.247,43.768
46,1602,5591.445,48.474
43,1748,6244.603,59.517
24,1781,8506.854,93.395
7,1846,8223.562,42.479
33,1890,8026.973,96.5
9,1934,9338.184,66.393
10,1942,9125.372,65.473
21,1987,8157.494,89.881
20,2049,8582.67,86.341
15,2223,9205.711,69.442
4,2306,9482.015,82.908
26,2583,10987.146,184.783
34,2804,12256.165,125.858
8,2860,14129.487,166.76
22,3644,17936.429,136.348
40,5104,20437.642,200.391
1,5250,19605.212,168.662
28,5466,23029.973,233.102
12,6259,26469.745,407.383
11,7350,29575.771,475.132
23,7552,39926.335,490.068
27,8809,39424.512,521.963
14,9198,41772.155,536.962
13,13921,97869.762,945.473
