counterpartcountrycode,iso3_o,countrycode,iso3_d,Importer,Exporter,year,Trade,contig,comlang_off,comlang_ethno,comcol,col45,distance,POPex,POPim,GDPex,GDPim,gdpcap_o,gdpcap_d,area_o,area_d,FTA
193,AUS,213,ARG,Argentina,Australia,2015,267.974077,0,0,0,0,0,12044.574,23.78116989,43.41675568,1.33914E+12,5.83169E+11,56310.957,13431.878,7686848,2766889,0
223,BRA,213,ARG,Argentina,Brazil,2015,13099.98099,1,0,0,0,0,2391.846403,207.8475342,43.41675568,1.77472E+12,5.83169E+11,8538.5898,13431.878,8511920,2766889,1
156,CAN,213,ARG,Argentina,Canada,2015,461.750723,0,0,0,0,0,9391.460934,35.85177231,43.41675568,1.55054E+12,5.83169E+11,43248.531,13431.878,9976139,2766889,0
924,CHN,213,ARG,Argentina,"China, P.R.: Mainland",2015,11742.51819,0,0,0,0,0,19110.12721,1371.219971,43.41675568,1.10077E+13,5.83169E+11,8027.6836,13431.878,9572378,2766889,0
132,FRA,213,ARG,Argentina,France,2015,1450.262887,0,0,0,0,0,10932.34073,66.80838776,43.41675568,2.41884E+12,5.83169E+11,36205.566,13431.878,547026,2766889,0
112,GBR,213,ARG,Argentina,United Kingdom,2015,558.49275,0,0,0,0,0,11136.96247,65.13822937,43.41675568,2.858E+12,5.83169E+11,43875.973,13431.878,244110,2766889,0
536,IDN,213,ARG,Argentina,Indonesia,2015,314.323418,0,0,0,0,0,15581.88412,257.5638123,43.41675568,8.61934E+11,5.83169E+11,3346.4871,13431.878,1933658,2766889,0
534,IND,213,ARG,Argentina,India,2015,724.292049,0,0,0,0,0,15676.28505,1311.050537,43.41675568,2.0954E+12,5.83169E+11,1598.259,13431.878,3287590,2766889,0
136,ITA,213,ARG,Argentina,Italy,2015,1370.062562,0,0,0,0,0,11214.0102,60.80208588,43.41675568,1.8215E+12,5.83169E+11,29957.805,13431.878,301323,2766889,0
158,JPN,213,ARG,Argentina,Japan,2015,1223.229975,0,0,0,0,0,18310.16163,126.9584732,43.41675568,4.12326E+12,5.83169E+11,32477.215,13431.878,377801,2766889,0
542,KOR,213,ARG,Argentina,"Korea, Rep. of",2015,1069.556374,0,0,0,0,0,19146.65149,50.61704636,43.41675568,1.37787E+12,5.83169E+11,27221.525,13431.878,99484,2766889,0
273,MEX,213,ARG,Argentina,Mexico,2015,1822.172957,0,1,1,0,0,7533.985981,127.0172272,43.41675568,1.14379E+12,5.83169E+11,9005.0234,13431.878,1967210,2766889,0
548,MYS,213,ARG,Argentina,Malaysia,2015,354.411303,0,0,0,0,0,16333.0348,30.331007,43.41675568,2.96283E+11,5.83169E+11,9768.3262,13431.878,329758,2766889,0
566,PHL,213,ARG,Argentina,Philippines,2015,92.839631,0,0,0,0,0,17783.10581,100.6993942,43.41675568,2.92451E+11,5.83169E+11,2904.2021,13431.878,300000,2766889,0
456,SAU,213,ARG,Argentina,Saudi Arabia,2015,176.505696,0,0,0,0,0,12674.51273,31.54037285,43.41675568,6.46002E+11,5.83169E+11,20481.744,13431.878,2153168,2766889,0
578,THA,213,ARG,Argentina,Thailand,2015,813.48764,0,0,0,0,0,17137.09458,67.95935822,43.41675568,3.95168E+11,5.83169E+11,5814.77,13431.878,513115,2766889,0
186,TUR,213,ARG,Argentina,Turkey,2015,186.326522,0,0,0,0,0,12474.37663,78.66583252,43.41675568,7.1788E+11,5.83169E+11,9125.6875,13431.878,780576,2766889,0
111,USA,213,ARG,Argentina,United States,2015,7700.490978,0,0,1,0,0,8678.352272,321.4188232,43.41675568,1.80366E+13,5.83169E+11,56115.719,13431.878,9529106,2766889,0
213,ARG,193,AUS,Australia,Argentina,2015,656.235929,0,0,0,0,0,12044.57413,43.41675568,23.78116989,5.83169E+11,1.33914E+12,13431.878,56310.957,2766889,7686848,0
223,BRA,193,AUS,Australia,Brazil,2015,512.682668,0,0,0,0,0,14046.74815,207.8475342,23.78116989,1.77472E+12,1.33914E+12,8538.5898,56310.957,8511920,7686848,0
156,CAN,193,AUS,Australia,Canada,2015,1774.958921,0,1,1,0,0,15391.07347,35.85177231,23.78116989,1.55054E+12,1.33914E+12,43248.531,56310.957,9976139,7686848,0
924,CHN,193,AUS,Australia,"China, P.R.: Mainland",2015,49030.09994,0,0,0,0,0,8345.109561,1371.219971,23.78116989,1.10077E+13,1.33914E+12,8027.6836,56310.957,9572378,7686848,0
