size,age,education,male,wage_month,wage_annual,wage_hour
3,72.4,1,1,269.9,3462.2,1.738052
2,73,1,1,270.2,3424.1,1.649374
1,73.4,1,1,251.9,3251.8,1.59402
3,47.4,1,1,333.9,4812.2,2.133067
2,50.8,1,1,319,4455.4,1.943892
1,50.4,1,1,312,4152.3,1.860349
3,19.2,1,1,213.4,2620.3,1.119786
2,18.7,1,1,170.3,2102.3,1.061768
1,18.2,1,1,175.3,2169.4,1.069724
3,23.4,1,1,277.3,3545.8,1.499915
2,23.2,1,1,235.4,3164.6,1.456998
1,22.9,1,1,241.4,3044.3,1.401611
3,27.3,1,1,252.4,3349.8,1.51712
2,27.7,1,1,277.3,3769.6,1.698018
1,27.4,1,1,285.4,3769.6,1.679857
3,32.6,1,1,319.2,4471,1.930484
2,32.6,1,1,306.1,4189.8,1.772335
1,32.5,1,1,306.1,4021.5,1.754581
3,37.7,1,1,336.2,4836.3,2.088212
2,37.8,1,1,326.4,4523.8,1.884917
1,37.7,1,1,340.4,4606.3,1.978651
3,42.6,1,1,333.1,4846.3,2.148183
2,42.6,1,1,368.4,5630,2.469298
1,42.6,1,1,344,4667.1,2.057804
3,47.6,1,1,378.8,5494.6,2.409912
2,47.8,1,1,344.5,4773.3,1.959483
1,47.8,1,1,351.4,4765.6,2.057686
3,52.5,1,1,402.1,5989.1,2.572638
2,52.5,1,1,353.7,4966.5,2.133376
1,52.3,1,1,347.4,4612,2.001736
3,57.3,1,1,388.3,5920.2,2.666757
2,57.5,1,1,344.8,4868.9,2.124302
1,57.5,1,1,342.6,4660.9,2.055071
3,62.6,1,1,279.6,4138.1,1.92649
2,62.3,1,1,291.7,3812.5,1.726676
1,62.6,1,1,284.6,3774.8,1.737937
3,67.1,1,1,234.4,2937.2,1.382863
2,67.6,1,1,227.5,2947.5,1.411638
1,67.6,1,1,261.8,3425.3,1.603605
3,73.3,2,1,237.6,2903.4,1.366949
2,73.4,2,1,237.8,2983.1,1.365888
1,73.7,2,1,244.1,3062.7,1.510207
3,44.4,2,1,379.2,5721.7,2.60551
2,45.3,2,1,327.5,4709.4,2.121351
1,47.3,2,1,314.8,4320.5,1.946171
3,19.1,2,1,215.1,2776.4,1.299813
2,19.1,2,1,204.8,2643,1.23736
1,19.1,2,1,203,2545.9,1.178657
3,22.4,2,1,258.9,3821.4,1.740164
2,22.6,2,1,242.1,3461.3,1.559144
1,22.7,2,1,229.8,3110.1,1.400946
3,27.5,2,1,302.3,4413.7,1.977464
2,27.5,2,1,275.4,3922.4,1.729453
1,27.5,2,1,265.6,3632.9,1.618939
3,32.6,2,1,340.7,5092.7,2.294009
2,32.5,2,1,301.3,4357.1,1.931339
1,32.5,2,1,290.1,3993.3,1.77008
3,37.5,2,1,370.1,5491.3,2.447104
2,37.6,2,1,327.3,4720,2.081129
1,37.6,2,1,316.2,4403.8,1.952039
3,42.6,2,1,405.5,6104.5,2.734991
2,42.6,2,1,351.4,5100.3,2.24881
1,42.6,2,1,332.3,4608.6,2.042819
3,47.7,2,1,434,6630.7,3.003034
2,47.7,2,1,372.2,5429.8,2.406826
1,47.6,2,1,347.2,4814.1,2.145321
3,52.5,2,1,450.4,6915.8,3.149271
2,52.4,2,1,379.7,5542.7,2.483289
1,52.4,2,1,352,4878.5,2.17402
3,57.5,2,1,452.8,7026.1,3.270996
2,57.4,2,1,378.5,5519.9,2.499955
1,57.4,2,1,349.2,4801,2.150986
3,62.2,2,1,310.5,4645.9,2.250921
2,62.4,2,1,293.7,4112.4,1.914525
1,62.4,2,1,306.6,4135.2,1.903867
3,67.1,2,1,257.5,3471,1.701471
2,67.2,2,1,254.1,3338.3,1.571704
1,67.3,2,1,263.1,3452.6,1.634754
3,72.1,3,1,222.2,2790.5,1.417937
2,72.9,3,1,225.9,2817.9,1.365262
1,73.2,3,1,240.7,3110.3,1.524657
3,42.6,3,1,370.6,5546.9,2.568009
2,42.1,3,1,342.8,4992.4,2.337266
1,43.4,3,1,333.9,4643.7,2.137983
3,22.9,3,1,243.8,3313.8,1.534167
2,22.8,3,1,238.1,3185.1,1.482821
1,22.8,3,1,224.1,2902.3,1.336234
3,27.5,3,1,281.5,4040.9,1.860451
2,27.5,3,1,269.2,3823.7,1.820809
1,27.4,3,1,261.9,3577.8,1.647238
3,32.5,3,1,327.7,4924,2.292365
2,32.5,3,1,299.6,4294.3,2.01044
1,32.6,3,1,295.9,4128.3,1.890247
3,37.6,3,1,348.4,5157,2.361264
2,37.6,3,1,329.7,4751.9,2.187799
1,37.7,3,1,328.4,4521.9,2.081906
3,42.7,3,1,393.1,5926.3,2.698679
2,42.6,3,1,352.3,5168.3,2.419616
1,42.6,3,1,347.2,4904.7,2.221332
3,47.6,3,1,415,6277.2,2.922346
