hscode,year,exp62,tariff,gdp,gdppc,fta,ctyid,eu_post,eucty,hscode62,ctyname,exp61,hscode61,exp64,hscode64,exp10,hscode10,eu
61,2008,,10,12.144483,444.95014,0,2,0,0,,Afghanistan,41,1,,1,,1,0
64,2013,,2.5,19.731337,621.81808,0,2,0,0,,Afghanistan,,,407,1,,1,0
62,2008,22,15,77.874197,3578.8728,0,3,0,0,1,Angola,1,1,,1,,1,0
62,2010,18,15,82.470913,3529.0535,0,3,0,0,1,Angola,,1,,1,42,1,0
62,2011,3,15,85.702616,3538.7157,0,3,0,0,1,Angola,,1,,1,122,1,0
62,2012,24,15,90.120963,3591.0274,0,3,0,0,1,Angola,35,1,,1,110,1,0
10,2013,,6.67,96.261432,3702.5992,0,3,0,0,,Angola,,,,,230,1,0
10,2014,,30,101,3747.5684,0,3,0,0,,Angola,,,,,137,1,0
61,2007,,15,10.348294,3484.2541,0,4,0,0,,Albania,381,1,,1,,1,0
62,2007,629,5,292,48260.011,0,7,0,0,1,United Arab Emirates,2776,1,12,1,,1,0
62,2008,194,5,301,43658.945,0,7,0,0,1,United Arab Emirates,5406,1,88,1,,1,0
62,2009,111,5,285,37203.398,0,7,0,0,1,United Arab Emirates,5593,1,178,1,,1,0
62,2011,140,5,308,35550.831,0,7,0,0,1,United Arab Emirates,18695,1,1982,1,,1,0
62,2013,316,5,343,38064.004,0,7,0,0,1,United Arab Emirates,32806,1,2604,1,36,1,0
62,2014,722,5,354,39034.376,0,7,0,0,1,United Arab Emirates,40264,1,4281,1,22,1,0
62,2015,1012,5,368,40159.558,0,7,0,0,1,United Arab Emirates,50423,1,10115,1,,1,0
62,2007,3,20,393,9830.6809,0,8,0,0,1,Argentina,2728,1,8,1,,1,0
62,2008,22,20,409,10125.126,0,8,0,0,1,Argentina,5249,1,36,1,,1,0
62,2009,10,35,385,9428.5025,0,8,0,0,1,Argentina,4480,1,157,1,,1,0
62,2010,118,35,424,10276.261,0,8,0,0,1,Argentina,6176,1,210,1,,1,0
62,2011,1,35,449,10780.016,0,8,0,0,1,Argentina,10309,1,2330,1,,1,0
62,2012,4,35,444,10557.885,0,8,0,0,1,Argentina,6586,1,2128,1,,1,0
62,2013,16,35,455,10699.198,0,8,0,0,1,Argentina,7781,1,2050,1,,1,0
62,2014,25,35,444,10323.207,0,8,0,0,1,Argentina,5057,1,738,1,,1,0
62,2015,222,35,455,10490.02,0,8,0,0,1,Argentina,5786,1,870,1,,1,0
61,2014,,10,11.123101,3827.3432,0,9,0,0,,Armenia,6,1,,1,,1,0
61,2009,,20,1.2349005,13196.06,0,11,0,0,,Antigua and Barbuda,22,1,,1,,1,0
61,2013,,20,1.168633,11946.281,0,11,0,0,,Antigua and Barbuda,24,1,,1,,1,0
61,2014,,20,1.2224228,12363.315,0,11,0,0,,Antigua and Barbuda,54,1,,1,,1,0
61,2015,,20,1.2728721,12738.53,0,11,0,0,,Antigua and Barbuda,137,1,24,1,,1,0
62,2007,108,0,1060,50952.467,0,12,0,0,1,Australia,3701,1,96,1,14,1,0
62,2008,289,0,1100,51788.44,0,12,0,0,1,Australia,6494,1,311,1,,1,0
62,2009,241,0,1120,51651.223,0,12,0,0,1,Australia,11160,1,581,1,,1,0
62,2010,483,0,1140,51874.08,1,12,0,0,1,Australia,13384,1,814,1,1025,1,0
62,2011,979,0,1170,52372.155,1,12,0,0,1,Australia,22113,1,1640,1,960,1,0
62,2012,1163,0,1210,53348.389,1,12,0,0,1,Australia,23916,1,3543,1,1082,1,0
62,2013,1628,0,1240,53798.359,1,12,0,0,1,Australia,46413,1,2024,1,663,1,0
62,2014,4786,0,1280,54394.334,1,12,0,0,1,Australia,58540,1,3306,1,766,1,0
62,2015,2905,0,1310,54941.911,1,12,0,0,1,Australia,69867,1,7607,1,1490,1,0
62,2007,89,0,392,47240.528,0,13,0,1,1,Austria,6133,1,2276,1,,1,1
62,2008,35,0,398,47821.528,0,13,0,1,1,Austria,5354,1,1780,1,,1,1
62,2009,215,0,383,45884.399,0,13,0,1,1,Austria,5290,1,1948,1,,1,1
62,2010,107,0,390,46657.063,0,13,0,1,1,Austria,3682,1,3543,1,,1,1
62,2011,27,0,401,47805.777,0,13,1,1,1,Austria,5735,1,4706,1,53,1,1
62,2012,78,0,404,47943.202,0,13,1,1,1,Austria,8245,1,3974,1,257,1,1
62,2013,293,0,405,47723.19,0,13,1,1,1,Austria,11523,1,6688,1,163,1,1
62,2014,112,0,407,47681.167,0,13,1,1,1,Austria,11503,1,3776,1,460,1,1
62,2015,283,0,411,47629.618,0,13,1,1,1,Austria,10165,1,5711,1,427,1,1
62,2014,116,15,58.383103,6122.9805,0,14,0,0,1,,,1,,1,,1,0
62,2007,74,0,478,45013.074,0,16,0,1,1,Belgium,26911,1,81,1,,1,1
62,2008,77,0,482,44992.611,0,16,0,1,1,Belgium,46358,1,1199,1,,1,1
62,2009,68,0,471,43612.16,0,16,0,1,1,Belgium,36981,1,1000,1,,1,1
62,2010,159,0,484,44380.237,0,16,0,1,1,Belgium,51558,1,2070,1,441,1,1
62,2011,2074,0,492,44555.366,0,16,1,1,1,Belgium,112671,1,2729,1,3099,1,1
62,2012,2196,0,493,44293.673,0,16,1,1,1,Belgium,115529,1,3569,1,3292,1,1
62,2013,2557,0,493,44050.043,0,16,1,1,1,Belgium,123006,1,2884,1,4740,1,1
62,2014,8020,0,501,44670.37,0,16,1,1,1,Belgium,167037,1,3670,1,9188,1,1
62,2015,13964,0,508,45067.829,0,16,1,1,1,Belgium,201731,1,9647,1,11517,1,1
10,2007,,10,6.3598224,752.21521,0,17,0,0,,,,,,,54,1,0
62,2011,9,20,7.1767517,758.57752,0,17,0,0,1,,,1,,1,47,1,0
10,2014,,10,8.5756459,833.66249,0,17,0,0,,,,,,,75,1,0
64,2013,,25,139,879.58197,0,18,0,0,,,,,14,1,,1,0
64,2008,,0,52.810911,7048.4459,0,19,0,1,,,,,1,1,,1,1
64,2010,,0,50.610031,6843.2633,0,19,0,1,,,,,3,1,,1,1
10,2011,,0,51.579222,7019.178,0,19,1,1,,,,,,,2225,1,1
10,2012,,0,51.595183,7062.1371,0,19,1,1,,,,,,,298,1,1
10,2013,,0,52.039981,7162.9948,0,19,1,1,,,,,,,2037,1,1
10,2014,,0,52.731514,7299.5524,0,19,1,1,,,,,,,242,1,1
64,2015,,0.67,54.639047,7612.0249,0,19,1,1,,,,,162,1,3522,1,1
61,2007,,5,22.621865,21838.075,0,20,0,0,,Bahrain,109,1,,1,,1,0
62,2008,10,5,24.034629,21563.651,0,20,0,0,1,Bahrain,11,1,,1,,1,0
61,2010,,5,25.713271,20722.104,0,20,0,0,,Bahrain,11,1,8,1,,1,0
61,2012,,5,27.2021,20921.2,0,20,0,0,,Bahrain,16,1,1083,1,,1,0
61,2013,,5,28.675502,21799.652,0,20,0,0,,Bahrain,30,1,9,1,,1,0
64,2014,,5,29.922841,22390.683,0,20,0,0,,Bahrain,,,3,1,,1,0
61,2015,,5,30.779223,22436.208,0,20,0,0,,Bahrain,32,1,59,1,,1,0
64,2013,,25,8.2045651,21748.927,0,21,0,0,,,,,3,1,,1,0
62,2008,1,15,17.536876,4659.6028,0,22,0,0,1,Bosnia and Herzegovina,47,1,,1,,1,0
61,2010,,15,17.16428,4611.4703,0,22,0,0,,Bosnia and Herzegovina,32,1,,1,,1,0
61,2011,,15,17.320174,4695.2583,0,22,0,0,,Bosnia and Herzegovina,40,1,,1,,1,0
61,2014,,15,17.759431,4980.2079,0,22,0,0,,Bosnia and Herzegovina,29,1,,1,,1,0
61,2015,,15,18.295042,5173.9942,0,22,0,0,,Bosnia and Herzegovina,35,1,,1,,1,0
61,2011,,10,60.404676,6376.3939,0,23,0,0,,Belarus,11,1,16,1,,1,0
10,2012,,0,61.450517,6492.7413,0,23,0,0,,Belarus,,,,,543,1,0
10,2014,,0,63.149449,6665.1935,0,23,0,0,,Belarus,,,,,1056,1,0
61,2015,,14.43,60.731096,6399.7422,0,23,0,0,,Belarus,174,1,,1,12,1,0
62,2013,1,20,1.5005308,4359.7142,0,24,0,0,1,Belize,20,1,2,1,,1,0
