isocode,country,lnpcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_dist,indian_dist,saharan_dist,red_sea_dist,ethnic_fractionalization,state_dev,land_area
"AGO","Angola",6.670766,7.967494,14.39925,0,0,0,1,0,0,0,0,8,17.54142,0,78,14,.2468601,0,0,1,0,0,0,0,0,1,-6.614335,.643126,-1.701396,-.024917,5.66876,6.980571,4.925892,3.872354,.7867,.635,1.25
"BDI","Burundi",6.35437,1.140843,4.451658,0,0,0,0,1,0,0,0,16,29.88722,5,82,17,-4.60517,0,1,1,0,0,0,0,1,0,-2.633923,-9.21034,-6.907755,3.036856,10.62621,2.570375,3.718742,2.215324,.2951,.995,.0278
"BEN","Benin",7.187657,8.304137,13.30897,0,0,1,0,0,0,0,0,6,2.34264,13,78,18,.0684028,0,13,1,0,0,0,1,0,0,-13.81551,-3.531555,-6.907755,1.214196,5.120652,9.233961,2.834785,3.901736,.7872,.695,.113
"BFA","Burkina Faso",6.74876,6.413822,11.72429,0,0,1,0,0,0,0,0,12,-1.74292,0,67,9,-4.60517,0,42,1,0,0,0,1,0,0,-2.164328,-9.21034,-6.907755,.9085654,4.774938,9.299419,2.763519,4.239375,.7377,.338,.274
"BWA","Botswana",8.377471,-2.302585,3.912023,0,1,0,0,0,0,0,0,24,23.82042,0,74,-4,-4.60517,0,0,0,1,0,1,0,0,0,-3.70509,-9.21034,2.186849,-2.075029,5.686335,5.764575,5.856533,4.2996,.4102,.893,.6
"CAF","Central African Republic",6.472346,1.171314,8.052058,0,0,1,0,0,0,0,0,4,20.48058,5,72,14,-4.60517,0,8,1,0,0,0,0,0,1,-3.316046,-9.21034,-1.849576,-.4739045,5.642056,8.772295,2.840084,2.293167,.8295,.144,.623
"CIV","Ivory Coast",7.189922,5.096793,10.8437,0,0,1,0,0,0,0,0,6,-5.55555,41,82,15,.4696153,0,20,1,0,0,0,1,0,0,-2.972711,-3.270892,-4.228216,.4721229,4.185696,9.457085,3.353074,4.793966,.8204,.082,.322
"CMR","Cameroon",7.01661,4.944928,10.33106,0,0,1,0,0,0,0,0,4,12.74132,23,75,14,-.1668627,0,22,1,0,0,0,0,0,1,-4.296489,-.8711616,-6.907755,1.020704,5.642056,8.772295,3.002548,3.051031,.8635,.316,.475
"COG","Congo",7.702556,5.623267,12.39107,0,0,1,0,0,0,0,0,4,15.2263,0,71,12,-.7049121,0,1,1,0,0,0,0,0,1,-3.967561,1.000878,-6.907755,-.3609614,5.527229,7.923528,3.697363,3.227007,.8747,.536,.342
"COM","Comoros",6.364751,-2.302585,3.912023,0,0,1,0,0,0,0,0,11,43.49777,69,78,19,5.054218,1,99,1,0,0,0,0,1,0,-13.81551,-9.21034,-6.907755,-2.302585,10.13065,1.754229,4.845693,2.609506,0,1,.00217
"CPV","Cape Verde Islands",7.482682,-2.302585,3.912023,0,0,0,1,0,0,0,0,15,-24.04431,0,73,13,5.478362,1,0,1,0,0,0,1,0,0,-13.81551,-9.21034,-6.907755,-2.302585,3.646842,11.59978,3.481602,6.465437,.4174,,.00403
"DJI","Djibouti",7.005789,-1.661718,4.703024,0,0,1,0,0,0,0,0,11,42.57752,0,74,17,2.65835,0,94,1,0,0,0,0,1,0,-13.81551,-9.21034,-6.907755,-.1698741,14.40755,2.682206,2.350743,.0643895,.7962,.133,.022
"DZA","Algeria",7.934514,3.257355,9.961392,0,0,1,0,0,0,0,0,36,2.63691,0,66,0,-.7015861,0,99,1,0,1,0,0,0,0,-13.81551,.9135318,-6.907755,-.404099,6.559232,14.91231,.9850905,3.654165,.3394,.99,2.38
"EGY","Egypt",7.979339,.3999169,5.477251,0,1,0,0,0,0,0,0,28,29.87953,0,41,1,.8960881,0,88,1,0,1,0,0,0,0,-13.81551,-.3610424,-6.907755,1.430923,16.39266,4.667312,.4303847,1.112658,.1836,.99,1
"ETH","Ethiopia",6.436151,7.078711,12.99278,1,0,0,0,0,0,0,0,12,39.61983,5,73,0,4.529333,0,32,1,0,0,0,0,1,0,-3.805913,-9.21034,-6.907755,.3556669,12.58899,2.705884,2.543248,.5100758,.7235,.843,1.22
"GAB","Gabon",8.265393,4.62739,11.69496,0,0,1,0,0,0,0,0,.2,11.79747,3,79,17,1.194601,0,.8,1,0,0,0,0,0,1,-1.654193,2.650107,-2.165953,-.6607257,5.531399,8.366795,3.70284,3.528861,.769,.011,.268
"GHA","Ghana",7.154615,8.818254,13.69867,0,1,0,0,0,0,0,0,7,-1.20736,15,77,15,.813252,0,16,0,1,0,0,1,0,0,.6532509,-5.899707,-2.239469,1.338615,4.772588,9.299526,3.174178,4.332308,.6733,.651,.239
"GIN","Guinea",6.349139,7.26078,12.8232,0,0,1,0,0,0,0,0,10,-10.93922,3,87,17,.3411072,0,80,1,0,0,0,1,0,0,-.8973768,-9.21034,-3.673854,.6566054,3.719985,10.26924,3.245414,5.258811,.7389,.406,.246
"GMB","Gambia",6.796824,7.561687,12.20487,0,1,0,0,0,0,0,0,13,-15.38402,0,78,7,1.957224,0,94,0,1,0,0,1,0,0,-13.81551,-9.21034,-6.907755,1.575844,3.888797,10.79257,3.171976,5.637868,.7864,.426,.0113
"GNB","Guinea-Bissau",6.523562,8.518584,13.78166,0,0,0,1,0,0,0,0,12,-14.96533,0,74,13,2.026835,0,34,1,0,0,0,1,0,0,-13.81551,-9.21034,-6.907755,.9559578,3.795674,10.63111,3.284617,5.633392,.8082,.214,.0361
"GNQ","Equatorial Guinea",8.981682,-.9844123,4.560218,0,0,0,0,0,1,0,0,3,10.34204,5,95,17,2.35459,0,.5,1,0,0,0,0,0,1,-13.81551,.3627662,-6.907755,.8622092,5.577306,8.556146,3.462215,3.515037,.3467,.211,.0281
