"","vars","n","mean","sd","median","min","max","range","se"
"rent",1,124,9.25120967741936,2.80480470248689,9,4.8,18,13.2,0.251878897858138
"service",2,124,0.0951612903225808,0.18756238580984,0,0,1,1,0.0168435994761194
"floor",3,124,51.3727580645161,20.8514283109733,55.245,18.41,85.59,67.18,1.872513539741
"age",4,124,5.75459750806452,8.49335473491051,1.58333335,0,49.616438,49.616438,0.762725771192071
"auto_lock*",5,124,1.30645161290323,0.46288981559275,1,1,2,1,0.041568732567327
"year",6,124,2001.54838709677,3.703118524742,2004,1996,2004,8,0.332549860538616
"walk",7,124,4.93548387096774,4.37238551005263,3,1,18,17,0.392651810055249
"bus",8,124,6.32258064516129,6.65716606017854,6,0,20,20,0.597831160440381
"rent_total",9,124,9.34637096774193,2.80438226598736,9,4.8,18,13.2,0.251840961940596
"dist",10,124,11.258064516129,5.25584609503223,11.5,1,23,22,0.471988912652255
"r_category*",11,124,2.75,0.942449670865146,3,1,6,5,0.0846344788903845
